title,rating
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,4
See America: A Celebration of Our National Parks & Treasured Sites,3
Under the Tuscan Sun,3
A Year in Provence (Provence #1),4
Neither Here nor There: Travels in Europe,3
"1,000 Places to See Before You Die",5
Sharp Objects,4
The Past Never Ends,4
The Murder of Roger Ackroyd (Hercule Poirot #4),4
A Time of Torment (Charlie Parker #14),5
Poisonous (Max Revere Novels #3),3
Murder at the 42nd Street Library (Raymond Ambler #1),4
Most Wanted,3
Boar Island (Anna Pigeon #19),3
Playing with Fire,3
What Happened on Beale Street (Secrets of the South Mysteries #2),5
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),5
Delivering the Truth (Quaker Midwife Mystery #1),4
The Mysterious Affair at Styles (Hercule Poirot #1),4
The Silkworm (Cormoran Strike #2),5
The Exiled,3
Extreme Prey (Lucas Davenport #26),3
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),4
The Girl You Lost,5
The Girl In The Ice (DCI Erika Foster #1),3
Blood Defense (Samantha Brinkman #1),3
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,3
A Flight of Arrows (The Pathfinders #2),5
Mrs. Houdini,5
The Marriage of Opposites,4
Glory over Everything: Beyond The Kitchen House,3
A Paris Apartment,4
The Constant Princess (The Tudor Court #1),3
World Without End (The Pillars of the Earth #2),4
The Passion of Dolssa,5
Voyager (Outlander #3),5
The Red Tent,5
Between Shades of Gray,5
While You Were Mine,5
The Secret Healer,3
Starlark,3
Lost Among the Living,4
A Spy's Devotion (The Regency Spies of London #1),5
