title,rating
It's Only the Himalayas,2
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,2
A Summer In Europe,2
The Great Railway Bazaar,1
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),1
"In a Dark, Dark Wood",1
A Murder in Time,1
The Last Mile (Amos Decker #2),2
That Darkness (Gardiner and Renner #1),1
Tastes Like Fear (DI Marnie Rome #3),1
A Study in Scarlet (Sherlock Holmes #1),2
Hide Away (Eve Duncan #20),1
The Widow,2
In the Woods (Dublin Murder Squad #1),2
The Cuckoo's Calling (Cormoran Strike #1),1
Career of Evil (Cormoran Strike #3),2
1st to Die (Women's Murder Club #1),1
Tipping the Velvet,1
The House by the Lake,1
"Love, Lies and Spies",2
Lilac Girls,2
The Invention of Wings,1
Girl With a Pearl Earring,1
The Last Painting of Sara de Vos,2
The Guernsey Literary and Potato Peel Pie Society,1
Girl in the Blue Coat,2
